**********************************************
* Logging started at Thu Feb 27 22:56:30 2025
* By 3dec Version 7.00 Release 161
* 
* 
* Job Title: 
**********************************************
3dec>log-file 'init_state.txt'
**********************************************
* Logging ended at Thu Feb 27 22:56:30 2025
**********************************************
**********************************************
* Logging started at Thu Feb 27 22:56:37 2025
* By 3dec Version 7.00 Release 161
* 
* 
* Job Title: 
**********************************************
3dec>@contacts_output
contact = 1 1 1 0 (0.362109,-0.687714,0.997993) (0,0,-1)
subcontact = (0.686157,-0.801861,3.28997) 0 (0,0,0) 78 1.57834e-06 (1.29765e-06,-6.33222e-06,4.06282e-06) 0 0 0.0333918
subcontact = (0.513126,-0.385879,2.96395) 6621 (-1637.55,1550.66,-1898.24) 77 -7.47064e-06 (4.43446e-06,-4.19917e-06,5.1404e-06) 448239 199564 0.0147711
subcontact = (0.880163,-0.385871,3.21389) 3698.59 (-577.463,1738.94,-1267.06) 76 -2.02957e-06 (3.74978e-06,-7.09696e-06,6.12457e-06) 121774 73347.2 0.0303725
subcontact = (0.997187,-0.842845,3.52392) 0 (0,0,0) 75 6.84521e-06 (4.45282e-07,-8.88235e-06,4.75792e-06) 0 0 0.0167542
subcontact = (0.686155,-0.801854,3.28996) 0 (0,0,0) 74 1.57826e-06 (1.29767e-06,-6.3322e-06,4.06283e-06) 0 0 0.0333918
subcontact = (0.385124,-0.754864,3.061) 10214.8 (-2557.06,4540.89,-4026.74) 73 -3.6215e-06 (2.17576e-06,-3.86375e-06,3.42628e-06) 217290 140093 0.0470101
subcontact = (1.2662,-0.385862,3.47884) 0 (0,0,0) 72 3.7147e-06 (3.03616e-06,-1.01686e-05,7.17611e-06) 0 0 0.0489932
contact = 5 1 5 4 (0.212084,-0.569183,3.85446) (0.947323,-0.139477,-0.288316)
subcontact = (0.102191,-0.385816,3.40401) 3808.72 (-671.616,509.867,-2453.39) 71 -4.50691e-06 (0.000148674,-7.39176e-05,0.00052426) 270414 184189 0.0140848
subcontact = (0.240258,-0.385776,3.85899) 0 (0,0,0) 70 8.27814e-05 (0.000137435,-0.000157486,0.000527759) 0 0 0.0284822
subcontact = (0.315303,-0.755736,4.28401) 0 (0,0,0) 69 0.000166347 (0.000107976,-0.000232785,0.000467392) 0 0 0.0141907
subcontact = (0.382326,-0.385735,4.32397) 0 (0,0,0) 68 0.000172038 (0.000125901,-0.000242929,0.000531197) 0 0 0.0442905
subcontact = (0.0521756,-0.737813,3.41005) 3844.4 (-690.381,536.453,-2527.91) 67 -1.45013e-06 (0.000130514,-7.23732e-05,0.000463844) 87007.8 60537.8 0.0441846
subcontact = (0.181239,-0.764774,3.84703) 0 (0,0,0) 66 8.25537e-05 (0.000118317,-0.00015245,0.000462505) 0 0 0.0298931
subcontact = (0.102047,-0.385743,3.40348) 3846.28 (-678.719,512.68,-2478.09) 65 -4.55136e-06 (0.000148686,-7.38473e-05,0.000524266) 273081 186017 0.0140848
subcontact = (0.240042,-0.385607,3.85848) 0 (0,0,0) 64 8.27367e-05 (0.000137449,-0.000157416,0.000527772) 0 0 0.0284822
subcontact = (0.315038,-0.75548,4.28359) 0 (0,0,0) 63 0.000166304 (0.000107991,-0.00023272,0.000467411) 0 0 0.0141907
subcontact = (0.181042,-0.76461,3.84659) 0 (0,0,0) 62 8.25114e-05 (0.00011833,-0.000152385,0.000462517) 0 0 0.0298931
subcontact = (0.0520465,-0.737741,3.40959) 3956.11 (-710.008,556.92,-2602.3) 61 -1.49227e-06 (0.000130526,-7.23079e-05,0.00046385) 89536.1 62336.6 0.0441846
subcontact = (0.382037,-0.385468,4.32348) 0 (0,0,0) 60 0.000171993 (0.000125918,-0.000242859,0.000531217) 0 0 0.0442905
contact = 6 1 6 5 (-0.603303,-0.569197,3.85438) (0.947368,0.137747,0.288998)
subcontact = (-0.492953,-0.385743,3.40347) 3875.87 (-696.307,-452.257,2498.13) 59 -4.58638e-06 (0.000136807,6.10593e-05,-0.000477571) 275183 186905 0.0140847
subcontact = (-0.630958,-0.385607,3.85847) 0 (0,0,0) 58 2.19444e-05 (0.000125789,0.000143975,-0.000480972) 0 0 0.0284822
subcontact = (-0.706962,-0.75548,4.28358) 0 (0,0,0) 57 4.96651e-05 (9.66576e-05,0.000218736,-0.000421111) 0 0 0.0141943
subcontact = (-0.772963,-0.385468,4.32347) 0 (0,0,0) 56 4.90728e-05 (0.000114514,0.000228754,-0.000484422) 0 0 0.0442941
subcontact = (-0.442954,-0.737741,3.40958) 3877.71 (-682.998,-635.749,2541.96) 55 -1.46269e-06 (0.00011876,5.95331e-05,-0.000417685) 87761.7 61284.1 0.0441845
subcontact = (-0.571958,-0.76461,3.84659) 0 (0,0,0) 54 2.42378e-05 (0.000106799,0.000138986,-0.000416343) 0 0 0.0298967
subcontact = (-0.493086,-0.385803,3.40395) 3861.98 (-693.245,-452.171,2488.05) 53 -4.56994e-06 (0.000136796,6.11242e-05,-0.000477566) 274197 186167 0.0140847
